year,B33 6.4983E,Bruce Plateau,DIV2010,DML07,FB97DML05,FB9807,FB9809,FB9814,Ferrigno,Fimbulisen s100,Gomez,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,ITASE-02-1,ITASE-02-4,ITASE-02-7,Jurassic,Law Dome (2015),Mount Johns,NUS07-1,NUS07-2,NUS07-7,NUS08-4,NUS08-5,NUS08-7,Palmer,RIDS-A,Rendezvous,SDM-94,SP01,SP04C5,SPOLE 0EW,THW2010,UP-C,WD05A 112.125W,WDC05A
1927,749.91,274600.0,7855.7584,1396.213042,1482.911721,2280.312,850.22426,1388.36786,25600.0,33916.7,18981.39987,4988.33936,7870.30176,9253.284,3241.674,5153.24836,6752.88027,6067.49504,3408.9174,8234.196,4865.47656,1004.64,807.92217,25743.88074,39809.4306,3069.927252,997.568,517.786,867.726,477.3,1092.055,1016.61,10508.56281,9977.890278,40417.04534,45044.93696,738.2895396,1262.064637,682.47445515,6761.8065,10578.40355,4792.462653,3898.6168
1928,918.4116,167900.0,11041.2102,1403.176567,1561.673826,1167.764,790.5195,1301.54982,25210.0,147507.3,16496.131,4698.14375,4944.19031,2053.00772,3319.83055,4662.46312,10265.24386,6224.91703,3074.38656,7625.1376,3087.56808,1041.1065,239.98901,17568.35513,25884.3357,2298.561302,1072.188,651.1,724.734,751.396,818.736,938.42,4449.36306,5452.014472,48018.44064,24273.40002,687.2809198,797.23441,433.8550409,4188.4048,14075.17663,4340.089631,3432.3975
1929,754.8875,194600.0,5434.1542,1744.064651,436.9554451,3372.324,4090.58496,2320.50735,23180.0,72459.9,17117.49421,2039.5648,6327.99966,3110.38988,7259.44,4726.1292,9561.005,3852.08208,6981.63268,18692.4384,2274.026,878.163,573.097,24987.32336,49791.1814,3234.651617,496.86,613.972,602.046,1541.05,1227.512,669.2,20420.84696,2526.645875,40827.11557,14671.94994,738.5050562,3498.731697,648.8716378500001,4069.736,7943.02259,4553.566554,5810.2973
1930,1229.6338,110100.0,5919.6552,1013.344626,886.3836215,1234.336,1312.54659,300.56991,17340.0,212521.0,24682.11663,3480.82,8773.64672,5939.30256,2270.36397,7554.09375,14109.18036,4423.45859,3255.231,5809.60125,6850.56372,736.6065,1194.78214,94049.28514,53713.275,5016.99978,1986.868,474.64,736.641,1965.292,914.677,586.74,12157.09891,4853.579158,23858.61799,10510.20312,806.5740561,1194.303881,920.3025875000001,5879.477,6400.061638,3300.031233,5331.4809
1931,758.352,553200.0,13344.6362,3467.440976,2969.916423,643.008,3752.2145,829.50989,32260.0,83589.3,36193.97246,4027.44377,8261.03304,3228.19032,3068.9256,7561.01336,10885.4532,7419.8944,5172.51072,10352.96,5127.0125,1512.22976,705.66864,55224.11495,31943.237,8939.628237,972.816,534.548,498.771,1210.307,477.189,920.64,22877.10834,5296.520353,62859.12201,7536.050584,810.3390317,792.6819218,1171.8464640500001,4019.5378,7014.82004,5698.955742,4764.3859
1932,1174.887,233500.0,12365.1336,993.304818,1382.828609,774.996,2121.8522,943.38916,27800.0,168823.6,16387.64369,3962.0931,5905.85216,4041.753,2087.4,12844.21825,10814.23862,5317.2504,6226.71,10371.36215,6089.9703,822.078,498.732,44954.68421,50853.9864,2619.607486,203.008,649.944,760.59,1042.142,745.994,1043.28,14842.49813,3779.249419,46825.54425,1677.031447,751.0972037,780.9749786,901.1539568999999,7690.98,22717.50451,3324.242049,3278.1112
1933,391.3559,162700.0,8633.9056,1354.058053,578.927531,358.768,1054.27845,1367.7975,16680.0,113617.8,19169.72553,3995.3963,5134.2368,6500.4169,4086.045,7435.4616,10997.49473,4131.933,5423.9045,10215.09949,6807.65893,1963.66632,1099.1493,36509.81658,84224.8704,2914.756923,933.036,744.77,764.289,662.855,579.42,457.45,13479.96602,9705.606975,30225.54042,22312.75388,899.8656843,486.9666737,721.6868461500001,4135.5908,4588.174438,3631.676788,2626.449
1934,710.0108,511200.0,23606.9124,718.481414,584.3091578,595.544,2242.65366,358.0659,43590.0,172720.0,29976.77425,4705.42464,10722.30131,5047.82488,4128.432,5934.06352,10731.59232,4652.9157,4496.5233,10766.4271,3856.46366,1529.4717,1534.5,51040.43173,52761.1329,2301.448236,760.136,503.506,576.099,514.226,540.607,371.42,8383.94524,4470.317326,50569.92091,54213.11987,1439.159079,498.2032635,797.7936496,7230.7264,4975.755667,12793.99643,4199.1525
1935,1134.9965,130700.0,9767.4004,2002.039176,973.4548781,1077.936,2350.092,799.9019,44170.0,68331.6,14846.22213,5245.2544,9010.85639,7893.58705,8444.32281,8579.02185,6474.58515,5551.82566,3027.7452,5923.49428,9896.9988,974.23328,431.618,37940.04638,45175.8,7811.771975,709.644,585.378,556.524,1078.291,1516.519,1237.32,16401.77405,7995.696863,26233.98334,7579.612001,373.8373812,756.5450431,859.0989360000001,6311.4042,6433.875962,5242.793465,3609.5986
1936,1958.4567,301300.0,8625.2712,751.4043501,951.9421616,316.676,2598.68375,649.87328,23170.0,95305.6,31857.12829,5725.2128,12799.28897,6082.21824,4089.10848,5406.8109,7492.1073,8507.66952,5606.74953,11792.0502,3927.04098,908.48,422.78112,88460.92396,79629.08540000001,11612.51185,1069.068,649.4,558.819,1009.878,2227.992,1657.355,6459.045093,10018.87573,59581.26685,11754.0006,927.5989177,431.5119962,752.748828,5166.0855,4999.960995,4741.94297,5826.348
