year,DateTime
1087,2019-11-24
1088,2019-11-25
1089,2019-11-26
1090,2019-11-27
1091,2019-11-28
1092,2019-11-29
1093,2019-11-30
1094,2019-12-01
1095,2019-12-02
1096,2019-12-03
1097,2019-12-04
1098,2019-12-05
1099,2019-12-06
1100,2019-12-07
1101,2019-12-08
1102,2019-12-09
1103,2019-12-10
1104,2019-12-11
1105,2019-12-12
1106,2019-12-13
1107,2019-12-14
1108,2019-12-15
1109,2019-12-16
1110,2019-12-17
1111,2019-12-18
1112,2019-12-19
1113,2019-12-20
1114,2019-12-21
1115,2019-12-22
1116,2019-12-23
1117,2019-12-24
1118,2019-12-25
1119,2019-12-26
1120,2019-12-27
1121,2019-12-28
1122,2019-12-29
1123,2019-12-30
1124,2019-12-31
1125,2020-01-01
1126,2020-01-02
1127,2020-01-03
1128,2020-01-04
1129,2020-01-05
1130,2020-01-06
1131,2020-01-07
1132,2020-01-08
1133,2020-01-09
1134,2020-01-10
1135,2020-01-11
1136,2020-01-12
1137,2020-01-13
1138,2020-01-14
1139,2020-01-15
1140,2020-01-16
1141,2020-01-17
1142,2020-01-18
1143,2020-01-19
1144,2020-01-20
1145,2020-01-21
1146,2020-01-22
1147,2020-01-23
1148,2020-01-24
1149,2020-01-25
1150,2020-01-26
1151,2020-01-27
1152,2020-01-28
1153,2020-01-29
1154,2020-01-30
1155,2020-01-31
1156,2020-02-01
1157,2020-02-02
1158,2020-02-03
1159,2020-02-04
1160,2020-02-05
1161,2020-02-06
1162,2020-02-07
1163,2020-02-08
1164,2020-02-09
1165,2020-02-10
1166,2020-02-11
1167,2020-02-12
1168,2020-02-13
1169,2020-02-14
1170,2020-02-15
1171,2020-02-16
1172,2020-02-17
1173,2020-02-18
1174,2020-02-19
1175,2020-02-20
1176,2020-02-21
1177,2020-02-22
1178,2020-02-23
1179,2020-02-24
1180,2020-02-25
1181,2020-02-26
1182,2020-02-27
1183,2020-02-28
1184,2020-02-29
1185,2020-03-01
1186,2020-03-02
1187,2020-03-03
1188,2020-03-04
1189,2020-03-05
1190,2020-03-06
1191,2020-03-07
1192,2020-03-08
1193,2020-03-09
1194,2020-03-10
1195,2020-03-11
1196,2020-03-12
1197,2020-03-13
1198,2020-03-14
1199,2020-03-15
1200,2020-03-16
1201,2020-03-17
