year,vrs-13 (vostok stack),B31 3.43W ,B32 0.00667E,B33 6.4983E,FB96DML01,FB97DML04,FB97DML06,FB97DML07,FB97DML09,FB97DML10,FB9804,FB9805,FB9807,FB9808,FB9809,FB9810,FB9811,FB9812,FB9813,FB9814,FB9815,FB9816,FB9817,SPOLE 0EW , D66 136.9352E,LGB65 77.07472E,GV2 145.2631 E,ITASE-02-7,ITASE-02-4,Law Dome (2015),200 km,BerknerR25 45.716W,Gomez,"JRI (Aristarain et al., 2004)",Dyer Plateau,Ferrigno,Bryan coast,DIV2010,THW2010, WD05A 112.125W,WD05Q 112.086W ,WAIS 2014,SDM-94,UP-C,RIDS-A,RIDS-C,ITASE-99-1,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,Hercules Neve 165.4 E, Talos Dome 159.07575E, GV7 158.8624E,GV5 158.5369 E,RICE,Fimbulisen s100,Ekstroem B04,FB9802,Derwael Ice Rise,H72 41.08333E
1927,27.89,57.4,55.4,42.0,32.0,35.8,48.5,44.2,28.9,70.9,65.1,34.1,51.5,48.8,80.2,68.2,94.9,41.0,39.7,68.2,41.4,87.8,76.0,50.52,210.94,150.0,117.7,98.09,119.96,634.0,430.71,107.2,697.85,682.82,272.0,364.5,372.49,413.2,245.5,221.0,206.0,185.29,118.02,185.23,327.74,52.77,143.17,305.61,406.36,225.82,207.62,372.68,397.9,319.14,372.58,422.74,101.37,153.1,223.43,90.09,252.69,281.0,375.0,147.5,535.51,185.51
1928,25.72,51.7,54.4,49.8,34.2,74.3,76.7,45.0,25.3,47.5,32.6,34.2,51.4,87.9,74.5,101.6,39.0,41.0,59.0,33.9,55.1,45.3,91.8,65.59,192.33,127.0,117.7,52.29,95.82,414.0,245.3,121.2,474.49,410.84,462.0,229.06,336.29,385.8,303.2,217.0,185.0,225.56,169.07,73.67,241.58,70.21,144.25,152.49,517.72,160.45,141.52,270.19,451.74,283.74,297.58,296.03,101.37,47.4,201.16,90.09,289.54,279.0,362.0,162.0,411.73,329.49
1929,19.39,50.8,63.8,65.5,39.2,47.9,46.5,75.0,36.2,53.8,49.0,77.8,36.7,58.6,193.2,44.0,29.3,41.0,62.1,77.3,36.7,70.2,35.5,90.67,197.61,81.0,111.82,58.94,89.7,724.0,312.09,156.7,494.14,513.62,429.0,270.62,494.36,244.1,226.6,139.0,155.0,226.05,109.37,140.53,240.88,116.69,161.33,95.17,365.71,133.91,164.77,369.2,541.68,274.35,248.65,328.5,88.3,116.1,257.97,127.25,159.92,141.0,315.0,140.0,581.58,306.64
1930,20.09,63.6,66.0,50.3,55.0,54.6,46.5,55.7,31.6,61.2,39.7,39.0,51.2,105.7,47.7,64.5,65.9,41.0,81.2,26.7,36.7,34.5,103.1,110.57,289.86,86.0,118.47,93.41,109.47,710.0,256.88,134.0,571.08,360.41,276.0,280.95,422.51,301.9,284.5,237.0,263.0,194.7,79.89,109.36,279.09,104.83,88.96,131.57,428.25,200.82,140.86,383.74,502.73,288.1,286.32,314.48,103.85,64.8,254.5,121.48,296.84,461.0,456.0,97.2,246.63,213.96
1931,7.3,66.3,52.5,56.0,36.8,40.9,39.8,27.8,58.2,26.9,42.1,32.2,39.0,47.2,85.0,61.7,61.1,41.0,65.3,58.3,78.0,36.5,77.0,80.25,183.83,159.0,118.47,86.68,174.79,772.0,188.75,101.5,1035.24,394.91,591.0,374.46,368.77,460.7,263.3,197.0,194.0,312.39,90.72,126.91,226.55,116.32,103.02,318.71,484.19,152.77,100.18,352.57,409.01,355.95,409.59,399.97,179.43,145.8,268.68,175.08,286.15,249.0,382.0,157.7,497.95,470.65
1932,20.24,77.9,56.3,51.0,34.1,43.1,43.4,51.4,64.7,37.7,34.9,48.3,55.9,90.1,55.9,53.8,39.2,55.5,80.7,78.2,32.1,27.3,66.6,80.11,214.47,153.0,91.82,59.98,87.25,798.0,455.93,119.9,773.44,555.56,321.0,405.49,481.63,377.4,271.0,182.0,204.0,153.03,101.39,180.02,226.06,98.75,153.32,186.94,331.67,164.61,106.45,524.46,418.92,302.45,312.89,284.51,125.0,97.2,272.7,117.68,210.73,244.0,361.0,100.2,488.41,341.13
1933,1.81,78.6,70.8,55.9,31.6,79.8,55.5,83.7,43.7,35.0,59.9,27.5,38.9,50.4,74.7,68.9,51.3,43.3,38.7,46.5,57.5,41.0,69.0,59.98,204.78,116.0,167.85,66.65,141.58,768.0,459.71,187.5,599.37,844.25,406.0,197.51,471.41,340.4,239.8,210.0,200.0,240.51,156.68,71.59,270.61,110.23,170.48,213.51,435.42,229.02,176.97,325.55,451.7,397.52,319.88,397.34,148.79,64.8,230.05,105.79,180.52,306.0,255.0,173.1,414.16,292.83
1934,9.04,60.1,72.4,74.3,22.2,55.5,43.1,50.1,54.4,56.6,72.6,72.9,113.9,65.5,96.3,71.5,94.6,24.1,43.0,26.9,46.1,38.8,32.0,69.88,126.48,141.0,104.12,99.99,121.26,574.0,238.67,161.0,889.2,705.49,406.0,436.42,435.19,486.6,339.2,225.0,216.0,228.2,108.55,89.15,186.37,202.58,156.02,275.21,451.29,229.55,175.99,390.85,449.64,326.99,369.02,461.87,152.01,118.8,239.78,97.56,233.05,340.0,322.0,185.8,445.43,292.21
1935,34.73,56.7,61.2,67.1,49.1,47.0,36.2,35.2,73.5,50.7,53.7,54.2,70.1,105.8,107.2,87.3,38.5,41.0,49.4,68.5,62.3,61.6,73.8,89.67,196.79,128.0,121.47,91.96,84.77,731.0,376.17,102.5,647.66,654.95,447.0,477.72,459.93,342.8,289.7,202.0,204.0,189.43,93.53,47.39,275.56,51.89,131.26,218.04,392.28,161.53,213.93,434.75,445.45,268.73,327.16,317.86,129.11,113.25,161.48,48.78,156.26,243.0,285.0,138.6,403.84,367.91
1936,24.08,68.4,76.4,57.3,60.4,39.8,80.2,32.3,52.7,48.0,33.4,67.3,62.8,88.2,149.5,72.3,45.6,41.0,48.7,78.2,41.5,36.5,41.7,74.58,208.72,140.0,115.69,64.77,108.79,853.0,315.12,153.7,1004.67,626.23,442.0,280.32,458.51,306.6,231.3,220.0,183.0,222.5,83.1,100.41,261.75,137.9,162.75,223.02,404.25,256.45,153.63,270.33,394.49,340.06,369.26,397.38,151.98,91.8,200.9,146.35,215.69,208.0,382.0,106.6,475.36,377.76
