year,FB9813,FB9802,Siple Station,FB96DML01,FB97DML04,FB97DML06,FB97DML09,FB97DML10,Hercules Neve 165.4 E,Fimbulisen s100,Ekstroem B04,Plateau Remote,Bruce Plateau,ITASE-01-2,ITASE-01-5,Law Dome (2015),ITASE-00-1,WD05A 112.125W,ITASE-02-4
1978,-44.29,-33.63,-29.999,-44.07,-46.36,-48.74,-45.09,-47.86,-34.5,-24.8,-18.1,-55.8374,-19.6668,-31.288,-30.954,-22.9898,-32.9469,-34.21874048,-41.2181806
1979,-43.78,-33.55,-30.006,-44.19,-42.67,-48.370000000000005,-44.54,-48.33,-35.91,-23.05,-20.13,-52.3945,-18.943,-28.234,-31.085,-22.6267,-33.1068,-33.49367895,-44.13100612
1980,-42.21,-33.54,-28.24,-42.7,-44.37,-48.0,-44.54,-47.82,-32.33,-23.32,-18.16,-51.8716,-20.078,-30.15,-31.056,-22.1756,-31.104,-32.27903095,-47.39885458
1981,-45.65,-32.68,-28.767,-43.49,-46.74,-47.629999999999995,-44.54,-47.49,-33.5,-22.97,-21.1,-55.2942,-19.4138,-29.594,-30.389,-21.752,-31.80585,-34.82181316,-42.13170133
1982,-44.65,-31.2,-29.436,-44.34,-45.89,-47.26,-42.915,-47.49,-32.7,-25.08,-21.1,-54.5345,-19.2833,-29.552,-33.751,-21.80165,-33.061,-33.20293334,-42.86360667
1983,-47.59,-31.79,-29.661,-44.54,-46.985,-48.54,-41.29,-53.24,-37.16,-22.97,-21.1,-56.2466,-18.6625,-28.498,-32.32,-21.7903,-32.5972,-34.07652631,-43.14672363
1984,-46.09,-31.64,-29.661,-44.63,-48.08,-46.54,-44.25,-50.45,-34.33,-21.75,-21.1,-54.5897,-19.2693,-29.902,-31.764,-21.17745,-31.49305,-34.89558095,-46.34701488
1985,-47.37,-31.41,-29.661,-44.37,-48.37,-45.81,-49.04,-49.79,-35.13,-21.04,-21.1,-54.3835,-18.5037,-30.704,-30.185,-22.6768,-33.12595,-34.38282632,-43.3766044
1986,-50.39,-32.57,-29.661,-44.455,-44.02,-47.94,-51.25,-48.21,-38.94,-21.67,-21.1,-53.85,-20.9069,-30.593,-30.375,-23.12945,-35.1041,-36.55386429,-45.40495373
1987,-45.94,-32.65,-29.661,-44.54,-44.44,-51.51,-50.88,-48.807500000000005,-32.57,-23.12,-21.1,-53.85,-19.7307,-28.926,-31.47,-23.09955,-33.86885,-34.25967106,-42.09624489
1988,-45.49,-31.16,-29.661,-45.1,-45.72,-49.79,-48.15,-49.405,-34.8,-24.44,-21.1,-53.85,-18.4648,-30.459,-30.821,-21.3319,-33.31785,-33.76619524,-41.74703229
1989,-46.83,-30.55,-29.661,-44.18,-46.64,-48.77,-46.96,-50.0025,-31.39,-22.72,-21.1,-53.85,-18.3735,-29.917,-31.363,-21.9704,-32.1809,-33.23084737,-42.722527
1990,-45.91,-31.85,-29.661,-46.09,-49.03,-46.43,-47.22,-50.6,-36.44,-24.64,-21.1,-53.85,-20.3291,-28.672,-31.038,-23.34585,-32.1088,-33.58005,-41.34428293
1991,-44.81,-29.99,-29.661,-44.08,-47.56,-45.15,-47.48,-52.63,-35.3,-23.44,-21.1,-53.85,-19.8831,-31.129,-31.109,-22.23545,-31.173,-33.71054211,-43.08939667
1992,-45.66,-33.05,-29.661,-42.84,-49.14,-48.08,-48.81,-49.41,-33.18,-23.33,-21.1,-53.85,-18.0297,-30.928,-30.173,-21.9242,-31.4699,-31.97460238,-43.87922509
1993,-46.59,-30.16,-29.661,-40.36,-46.1,-48.73,-48.58,-48.54,-33.18,-19.86,-21.1,-53.85,-18.9123,-28.485,-31.034,-23.00505,-32.83705,-32.36373158,-41.69604975
1994,-45.39,-30.77,-29.661,-40.36,-47.25,-47.36,-48.15,-49.66,-33.18,-23.62,-21.1,-53.85,-20.2103,-29.207,-31.751,-22.9715,-33.2582,-33.73939286,-41.10546479
1995,-41.82,-32.31,-29.661,-40.36,-47.56,-46.75,-48.71,-47.95,-33.18,-19.53,-21.1,-53.85,-18.261,-29.721,-32.264,-21.9425,-31.30295,-33.9045079,-42.61236486
1996,-43.58,-27.23,-29.661,-40.36,-47.56,-46.04,-48.71,-46.84,-33.18,-23.71,-21.1,-53.85,-20.1046,-30.094,-32.763,-21.2777,-31.05205,-34.18554286,-42.28082691
