year,"JRI (Aristarain et al., 2004)",Ferrigno,ITASE-01-3,WD05A 112.125W,ITASE-00-5
1556,-156.35,,,-277.1457143,
1555,-147.605,,,-267.4178947,
1554,-146.12,,,-247.4995238,
1553,-168.335,,,-265.2557895,
1552,-174.905,,,-256.2033333,
1551,-158.75,,,-266.1894737,
1550,-147.58,,,-265.1980952,
1549,-144.065,,,-276.3105263,
1548,-148.575,,,-267.5485714,
1547,-153.43,,,-267.1794737,
1546,-154.085,,,-274.0514286,
1545,-148.3,,,-273.3778947,
1544,-165.815,,,-282.36,
1543,-154.31,,,-276.4389474,
1542,-150.225,,,-270.8757143,
1541,-159.76,,,-285.2636842,
1540,-153.765,,,-271.942381,
1539,-155.095,,,-259.2710526,
1538,-147.14,,,-266.1404762,
1537,-148.135,,,-255.3636842,
1536,-153.99,,,-255.4147619,
1535,-140.69,,,-261.6231579,
1534,-153.135,,,-268.9885714,
1533,-140.46,,,-279.5847368,
1532,-145.175,,,-284.8352381,
1531,-159.22,,,-273.6321053,
1530,-158.25,,,-277.2204762,
1529,-156.17,,,-280.0747368,
1528,-164.02,,,-265.2547619,
1527,-157.38,,,-256.7610526,
1526,-154.335,,,-266.1709524,
1525,-150.92,,,-269.8047368,
1524,-142.915,,,-274.334,
1523,-153.37,,,-259.5114286,
1522,-144.69,,,-267.472381,
1521,-147.585,,,-256.6831579,
1520,-152.37,,,-277.7661905,
1519,-155.085,,,-271.9531579,
1518,-163.1,,,-261.2066667,
1517,-178.15,,,-270.2705263,
1516,-149.55,,,-273.5338095,
1515,-142.99,,,-252.8315789,
1514,-152.56,,,-256.7809524,
1513,-155.03,,,-270.2378947,
1512,-158.1,,,-270.7595238,
1511,-163.535,,,-268.9778947,
1510,-144.75,,,-251.1114286,
1509,-147.97,,,-262.1494737,
1508,-149.175,,,-271.867619,
1507,-137.29,,,-269.3115789,
1506,-147.76,,,-270.2257143,
1505,-160.49,,,-274.6184211,
1504,-147.25,,,-275.3352381,
1503,-142.515,,,-264.5694737,
1502,-139.35,,,-278.4471429,
1501,-160.465,,,-287.8468421,
1500,-164.96,,,-272.6519048,
1499,-162.48,,,-268.6389474,
1498,-157.635,,,-271.8619048,
1497,-145.37,,,-259.2726316,
1496,-160.935,,,-265.1838095,
1495,-152.52,,,-261.7542105,
1494,-159.845,,,-259.727619,
1493,-142.4,,,-269.6936842,
1492,-154.365,,,-258.0938095,
1491,-150.13,,,-260.8852632,
1490,-153.29,,,-254.6190476,
1489,-155.87,,,-263.6736842,
1488,-145.15,,,-258.8780952,
1487,-139.28,,,-267.6284211,
1486,-140.8,,,-268.8285714,
1485,-150.48,,,-262.1605263,
1484,-149.25,,,-272.66,
1483,-155.575,,,-277.3168421,
1482,-167.88,,,-268.372381,
1481,-168.56,,,-277.5126316,
1480,-159.35,,,-256.6709524,
1479,-136.115,,,-265.8394737,
1478,-140.69,,,-259.3804762,
1477,-154.22,,,-263.2257895,
1476,-160.01,,,-274.7371429,
1475,-140.07,,,-275.6947368,
1474,-154.05,,,-262.0719048,
1473,-147.135,,,-279.0515789,
1472,-135.08,,,-274.8519048,
1471,-159.495,,,-270.7973684,
